unix_timestamp_ms,fcr_price_eur_per_mw_4h
1708902000000,21.9
1708905600000,40.8
1708909200000,29.53
1708912800000,2.73
1708916400000,1.0
1708920000000,2.43
1708923600000,10.23
1708927200000,164.3
1708930800000,99.15
1708934400000,64.7
1708938000000,116.55
1708941600000,757.28
1708945200000,45.28
1708948800000,129.03
1708952400000,153.83
1708956000000,47.73
1708959600000,44.95
1708963200000,177.5
1708966800000,579.23
1708970400000,1137.73
1708974000000,1085.58
1708977600000,1125.3
1708981200000,117.35
1708984800000,256.55
1708988400000,52.15
1708992000000,88.2
1708995600000,188.0
1708999200000,21.23
1709002800000,4.95
1709006400000,4.23
1709010000000,10.03
1709013600000,129.23
1709017200000,2.48
1709020800000,109.57
1709024400000,281.18
1709028000000,0.0
1709031600000,3.0
1709035200000,37.47
1709038800000,119.05
1709042400000,202.08
1709046000000,182.4
1709049600000,68.6
1709053200000,5.08
1709056800000,619.15
1709060400000,243.2
1709064000000,77.0
1709067600000,1158.73
1709071200000,474.17
1709074800000,247.75
1709078400000,58.88
1709082000000,230.6
1709085600000,319.73
1709089200000,505.03
1709092800000,1049.85
1709096400000,201.05
1709100000000,10.73
1709103600000,100.53
1709107200000,219.95
1709110800000,13.52
1709114400000,6.6
1709118000000,790.4
1709121600000,253.15
1709125200000,79.7
1709128800000,186.08
1709132400000,91.28
1709136000000,41.45
1709139600000,48.38
1709143200000,15.17
1709146800000,245.15
1709150400000,222.55
1709154000000,905.05
1709157600000,1186.4
1709161200000,0.0
1709164800000,61.3
1709168400000,27.4
1709172000000,30.4
1709175600000,38.78
1709179200000,110.98
1709182800000,141.7
1709186400000,1059.65
1709190000000,1018.6
1709193600000,1030.2
1709197200000,817.55
1709200800000,801.65
1709204400000,677.55
1709208000000,639.53
1709211600000,726.0
1709215200000,1077.23
1709218800000,428.8
1709222400000,807.13
1709226000000,234.08
1709229600000,914.9
1709233200000,1071.65
1709236800000,918.95
1709240400000,307.3
1709244000000,954.82
1709247600000,521.5
1709251200000,520.65
1709254800000,525.23
1709258400000,431.05
1709262000000,191.25
1709265600000,135.23
1709269200000,206.2
1709272800000,104.8
1709276400000,806.15
1709280000000,1091.7
1709283600000,52.43
1709287200000,33.75
1709290800000,5.35
1709294400000,110.73
1709298000000,308.3
1709301600000,144.65
1709305200000,105.6
1709308800000,384.43
1709312400000,482.85
1709316000000,69.9
1709319600000,382.78
1709323200000,276.15
1709326800000,189.88
1709330400000,249.35
1709334000000,30.6
1709337600000,134.68
1709341200000,86.65
1709344800000,53.6
1709348400000,54.28
1709352000000,66.2
1709355600000,58.03
1709359200000,36.75
1709362800000,105.2
1709366400000,111.05
1709370000000,564.07
1709373600000,829.63
1709377200000,1221.63
1709380800000,481.67
1709384400000,369.2
1709388000000,624.03
1709391600000,715.55
1709395200000,1333.55
1709398800000,1530.1
1709402400000,1101.8
1709406000000,937.25
1709409600000,1036.48
1709413200000,1013.45
1709416800000,1008.2
1709420400000,1001.45
1709424000000,931.33
1709427600000,936.7
1709431200000,777.2
1709434800000,768.88
1709438400000,793.4
1709442000000,771.5
1709445600000,802.33
1709449200000,910.23
1709452800000,983.15
1709456400000,1021.05
1709460000000,1009.73
1709463600000,1004.38
1709467200000,859.3
1709470800000,1001.85
1709474400000,1060.18
1709478000000,1078.1
1709481600000,1032.48
1709485200000,1020.9
1709488800000,1105.25
1709492400000,1129.9
1709496000000,1021.08
1709499600000,1046.25
1709503200000,1042.23
1709506800000,943.13
1709510400000,868.45
1709514000000,995.5
1709517600000,891.43
1709521200000,421.83
1709524800000,664.5
1709528400000,612.7
1709532000000,614.38
1709535600000,1323.4
1709539200000,1026.58
1709542800000,1181.78
1709546400000,1185.53
1709550000000,1239.38
1709553600000,981.85
1709557200000,122.7
1709560800000,118.03
1709564400000,367.63
1709568000000,60.93
1709571600000,246.05
1709575200000,558.03
1709578800000,420.08
1709582400000,66.65
1709586000000,883.2
1709589600000,503.42
1709593200000,168.65
1709596800000,116.8
1709600400000,154.3
1709604000000,97.18
1709607600000,310.53
1709611200000,390.7
1709614800000,106.6
1709618400000,156.3
1709622000000,708.45
1709625600000,546.4
1709629200000,358.8
1709632800000,579.13
1709636400000,934.83
1709640000000,1011.33
1709643600000,1093.18
1709647200000,1090.7
1709650800000,1136.95
1709654400000,1191.88
1709658000000,1427.35
1709661600000,1091.03
1709665200000,1025.1
1709668800000,1023.6
1709672400000,790.7
